,PA18:PM10,PA18:PM25,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,PM25,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2023-01-09 08:00:00Z,7.6,3.3,19.6,1.8,22.6,60.5
2023-01-09 09:00:00Z,8.1,4.7,19.2,2.0,22.3,60.7
2023-01-09 10:00:00Z,3.6,2.0,16.0,2.6,20.0,63.8
2023-01-09 11:00:00Z,6.2,3.0,16.6,2.5,20.4,64.1
2023-01-09 12:00:00Z,5.7,3.8,17.2,3.1,21.9,63.3
2023-01-09 13:00:00Z,8.4,3.1,13.6,2.5,17.5,68.0
2023-01-09 14:00:00Z,14.3,6.2,17.8,2.8,22.1,64.2
2023-01-09 15:00:00Z,10.0,2.1,18.5,2.4,22.1,62.2
2023-01-09 16:00:00Z,4.2,2.3,21.6,2.4,25.2,56.9
2023-01-09 17:00:00Z,6.7,5.1,24.4,2.3,27.9,56.0
2023-01-09 18:00:00Z,9.2,3.5,21.3,2.3,24.7,64.2
2023-01-09 19:00:00Z,9.9,2.8,25.5,2.7,29.6,58.2
2023-01-09 20:00:00Z,12.8,8.8,27.9,2.5,31.8,54.0
2023-01-09 21:00:00Z,10.9,7.5,21.2,1.8,23.9,59.1
2023-01-09 22:00:00Z,12.1,7.7,18.9,1.7,21.5,59.3
2023-01-09 23:00:00Z,14.1,9.5,16.1,1.6,18.6,59.5
2023-01-10 00:00:00Z,15.9,8.1,15.6,1.4,17.8,59.2
2023-01-10 01:00:00Z,14.6,8.3,13.9,1.3,16.1,59.4
2023-01-10 02:00:00Z,15.3,8.0,14.0,1.1,15.8,59.2
2023-01-10 03:00:00Z,15.0,5.8,16.3,1.3,18.4,56.1
2023-01-10 04:00:00Z,15.9,6.2,17.4,1.4,19.6,52.5
2023-01-10 05:00:00Z,15.3,5.0,19.3,1.1,21.0,47.0
2023-01-10 06:00:00Z,13.9,7.9,33.0,1.8,35.8,30.6
2023-01-10 07:00:00Z,10.8,6.7,45.4,4.5,52.2,17.3
2023-01-10 08:00:00Z,15.0,6.5,54.6,7.6,66.4,10.4
2023-01-10 09:00:00Z,16.2,5.3,54.6,11.6,72.5,8.1
2023-01-10 10:00:00Z,20.7,10.1,49.7,12.2,68.3,11.9
2023-01-10 11:00:00Z,20.0,9.7,42.6,7.5,54.0,20.3
2023-01-10 12:00:00Z,18.1,9.2,35.7,5.0,43.2,31.9
2023-01-10 13:00:00Z,16.2,8.3,26.6,2.9,31.2,43.0
2023-01-10 14:00:00Z,14.0,7.5,28.4,2.6,32.5,39.4
2023-01-10 15:00:00Z,6.9,4.3,26.1,2.5,29.9,38.7
2023-01-10 16:00:00Z,8.3,2.7,25.7,2.1,28.9,36.9
2023-01-10 17:00:00Z,6.3,3.2,29.7,2.3,33.2,30.3
2023-01-10 18:00:00Z,5.3,5.4,30.8,2.3,34.3,28.7
2023-01-10 19:00:00Z,6.9,9.0,29.0,2.2,32.3,29.5
2023-01-10 20:00:00Z,9.0,5.6,24.8,1.6,27.3,34.6
2023-01-10 21:00:00Z,11.0,8.0,18.5,1.7,21.0,39.4
2023-01-10 22:00:00Z,10.9,7.5,14.7,1.8,17.5,45.0
2023-01-10 23:00:00Z,6.2,4.5,11.1,1.3,13.0,49.2
2023-01-11 00:00:00Z,5.6,1.9,8.9,1.1,10.5,51.8
2023-01-11 01:00:00Z,3.7,2.1,7.2,0.9,8.6,53.1
2023-01-11 02:00:00Z,2.7,2.1,6.2,0.7,7.4,53.0
2023-01-11 03:00:00Z,0.5,2.7,6.6,0.6,7.7,53.4
2023-01-11 04:00:00Z,1.5,1.0,6.6,0.9,8.0,54.4
2023-01-11 05:00:00Z,0.0,2.0,9.6,1.3,11.7,50.7
2023-01-11 06:00:00Z,2.3,2.7,25.2,2.9,29.6,53.1
2023-01-11 07:00:00Z,5.0,4.6,27.8,2.7,31.9,55.2
2023-01-11 08:00:00Z,7.7,5.0,39.2,3.4,44.6,44.4
2023-01-11 09:00:00Z,11.6,3.2,28.1,2.8,32.3,54.4
2023-01-11 10:00:00Z,12.6,6.0,25.7,3.9,31.8,55.0
2023-01-11 11:00:00Z,13.8,5.7,19.8,4.0,25.9,61.4
2023-01-11 12:00:00Z,11.7,5.3,15.5,3.7,21.1,65.1
2023-01-11 13:00:00Z,13.0,4.1,13.8,3.0,18.5,64.4
2023-01-11 14:00:00Z,15.3,4.2,13.5,3.0,18.3,66.9
2023-01-11 15:00:00Z,16.6,5.5,13.5,2.2,17.0,66.2
2023-01-11 16:00:00Z,17.4,5.6,18.9,2.2,22.2,60.0
2023-01-11 17:00:00Z,16.2,5.6,22.4,1.9,25.3,53.0
2023-01-11 18:00:00Z,17.0,7.1,22.8,1.6,25.3,50.7
2023-01-11 19:00:00Z,18.1,8.1,22.0,1.8,24.8,50.2
2023-01-11 20:00:00Z,17.3,7.6,19.0,1.3,21.0,54.2
2023-01-11 21:00:00Z,12.2,8.0,14.7,1.2,16.5,59.4
2023-01-11 22:00:00Z,15.7,10.0,12.0,1.4,14.1,62.4
2023-01-11 23:00:00Z,16.5,7.1,11.4,1.2,13.2,63.1
2023-01-12 00:00:00Z,14.6,5.6,11.0,1.2,12.9,62.0
2023-01-12 01:00:00Z,16.0,4.4,8.9,0.8,10.1,64.0
2023-01-12 02:00:00Z,13.7,5.9,7.4,0.9,8.9,65.8
2023-01-12 03:00:00Z,13.3,5.5,6.8,0.9,8.1,67.2
